Liquors-Wholesale,120
NEWS DEALERS,120
*Mill Engineers (See Engineers-Mill) Mill Supplies,120
JEWEERS-MFG-CONTD,120
PHYSICIANS AND SURGEONS MD. -,119
ACCOUNTANTS-PUBLIC 1Denotes Certified Public Accountants,119
REAL ESTATE-Contd,119
AUTOMOBILE ACCESSORIES AND PARTS-RETAIL,118
ut,118
*Automobile Insurance,118
Mattress Mfrs (See also Bedding Mfrs),118
CLEANERSANDDYERS,118
Tool Manufacturers,117
Office Supplies and Equipment,117
MACHINISTS,117
Chiropractors,116
"""WOMEN' S""",116
"""TO'WEAR CLOTHING - RETAI L""",116
Mill Supplies,116
PUBLIC,115
MEATS-WHOLESALE,115
MASS,115
CLINICS,115
INVESTMENT COMPANIES,115
PARTS MANUFACTURERS,115
AUTHORS AND COMPOSERS,115
ONE PARK ROW,114
UPSET FORGINGS,114
APARTMENT BUILDINGS-CONTD,114
Automobile Dealers-Passenger Cars,114
GENERAL MERCHANDISE- RETAIL,114
SHIRT MANUFACTURERS,114
Oils and Lubricants-Dealers,114
Electrical Equipment and Sup- plies-Dealers,113
"GASOLINE STATIONS- Contd ,",113
Dancing Academies & Teachers,113
PAN lES,112
Trucking (See also Expressing and Moving),112
"""INFANTS' '- RETAIL""",112
Textile Mfrs,112
IMPORTERS,111
Meats-Retail,111
PLUMBING OIL BURNER I PHONE JA,111
LAWYERS,111
SUPPLIES AND E UIPMENT,111
Contractors-Buildinq & General,111
Toys & Games-Rxetail,111
Contractors-Brujldina-aGeneral,110
AND EARTHENWARE- WHOLE- SALE,110
Contra-dtors-Buiildling-General,110
Bus & Coach Lines-Motor,110
DIE MAKERS,110
J ewelers-Retall (See also Watch & Jewelry Re- pairing),110
Cigars & Tobacco-Retail,110
SCHOOLS- PUBLIC,109
CREDIT UNIONS,109
METAL DEALERS,109
BOOKS-RETAIL,109
GREETING CARDS,109
"Publishers-Book, Newspaper & Periodical",109
SLITTING,108
Insurance Ag ants,108
"""' IDDGING HOUSES- Contd""",108
Church Goods (See also Statuary),108
Paper Dealers-Print & Wrap- ping,108
MENT,108
*Radio Sets and Suppliw-Retall,108
SCHOOIS-PUBLIC,108
emy av,107
Organizations-Business,107
28911- POCASSET AVE TEmple 1-478,107
Carpenters-Job (See also Cabinet Makers),107
RADIO and TELEVISION SETS- SALES and SERVICE,107
CLERGYMEN-Contd,107
*Street Railway Companies,107
Junk Dealers,106
"""Automobile Repairin'g""",106
HEARING AIDS,106
DRUGGISTS -RE TAIL,105
DRUGGISTS- RE TAIL,105
Upholsterers,105
"""Dresses (See Clothing Dealers-Women's and Misses) Dressmakers""",105
ENGRAVERS-JEWELRY,104
Sand & Gravel Dealers,103
"""'1 CATHEDRAL SQUARE PROVIDENCE RI""",103
ing; also Truckmen),103
Get To Know,103
rance,103
OPTICIANS-RETAIL,103
GROCERIES AND MEATS- RETAIL CONTD,103
"""Potter's av""",103
Phone DExter 1-2618,103
Bakers-Reteiil,102
"""Insurance Companies-I'ire""",102
TRUCKING (See also Expressing and Mov- ins),102
TA VERNS-CONTD,102
DRUGGISTS- RETAIL,102
CLEANERS AND DYERS-CONTD,102
1kHairdressers (See Beauty Shops) Halls,101
Plorists-Retall,101
Convents,101
J EWELERS-CONTD,101
"""JEWELERS' FINDINGS""",101
ART GALLERIES,101
Bowling Alleys (See also Billiard & Pocket Bil- liard Rooms),101
R1425,100
CONTRACTORS-PAINTING AND DECORATING,100
TEmpIe 1.7211 W,100
SHOE RE PAIRERS,100
Curtains & Draperies,100
SHOE REPAIRBRS,100
BEAUTY SHOPS- Contd,100
LAW OFFICB-CONTD,99
Contractors-BujldingdGeneral,99
BAKED GOODS-R ETAIL,99
Department Stores,99
Bakers-Retafl,99
CHURCH GOODS,99
Hardware Dealers-Retall,99
Furniture Dealers-Second Hand,98
Booksellers,98
Homes & Asylums,98
Printers-Book and Commercial,98
Billiard & Pocket Billiard Rooms,98
SCREW MACHINE PRODUCTS,98
APARTMENTS AND TOWN HOUS. CONTD,97
Metal Dealers,97
CONTRAC TORS -CARPENTER,97
*Halrdressers (See Beauty Shops) Halls,96
Schools and Colleges,96
MENT S -- DEALERS,96
CONTRAC TORS -PLUMBING,96
CONTRACTORS- BUILDING- GENERAL,96
Contractors-Building & General,96
BUS LINES,96
CONTRAC TORS- PLUMBING,95
Trucking. & Teaming (See also Expressing & Moving; also Truckmen),95
LAWYERS (SEE AISO ATTORNEYS) CONTD,95
Locksmiths,95
GROCERIES AND MEATS-RETAIL- Contd,94
C LUBS,94
Diamonds & Precious Stones (See also J ewelers),94
Engravers-Jewelry,93
CONTRACTORS-TILE,93
Meats-Wholesale,93
CONTRACTORS-ELECTRICAL,93
ORGANIZATIONS-LABOR-CONTD,93
POULTRY DEALERS-RETAIL,92
Pawnbrokers,92
BANKS AND TRUST COMPANIES,92
MACHINERY DEALERS,92
Window Cleaners,92
Brokers-Stocks & Bonds,92
Screw Machine Products,92
Artists-Commercial,91
BURIAL,91
GROCERIES AND MEATS-RETAIL CONTD,91
BAKED GOODS --RE TAIL,91
TIRE DEALERS AND REPAIRING,90
CLOTHING- RETAIL,90
INVESTMENT BANKERS,90
Dry GoodsF-Retall,89
TOOL MFRS AND DISTRIBUTORS,89
PRINTERS-BOOK AN D COMMERCIAL,89
CONTRAC TORS-BUILDING- GENERAL,89
REBTAURANTS-CONTD,89
"""(MANUFACI'U'RERS OF LAD-""",89
Carpenters (See also Contractors-Building -General),89
CASTING MFRS,89
Contractors-Building- General,89
Investment Bankers (See also Brokers-Investment),89
Associations & Clubs,88
"Cleaners-Garments, Curtainls & Draperies",88
132-134 Fountain St.,88
WESTMINSTER MALL PROVIDENCE TELEPHONE,88
NEWSPAPERS,88
LAUNDRIES-SE LF SERVE,88
(NP) CONTRACTORS- CARPENTER,88
J EWELRY BURNISHERS,88
*Buildlng & Loan Associations,88
"""CONTRACI'ORs-CARPENTER""",88
Poultry Dealers-Retall,87
ELECTROLYTIC TREATMENT,87
"""Clothing Dealers-Mews & Boys' -Retail""",87
